taxi_type,bucket,avg_co2,trips
YELLOW,35,1.235483490114228,11660053
YELLOW,34,1.2248612488607225,12095963
YELLOW,27,1.2124394398220752,11072412
YELLOW,36,1.2113179665721219,13045190
YELLOW,33,1.2043630611528513,12300840
YELLOW,52,1.20205152919802,10173940
YELLOW,22,1.201272949237845,13698108
YELLOW,20,1.1990947244231487,15019338
YELLOW,26,1.1950901690846139,13163673
YELLOW,32,1.1934311306079388,12585689
YELLOW,30,1.1927029083663032,13117827
YELLOW,25,1.1919281696119097,14049634
YELLOW,21,1.1912777066917604,13530785
YELLOW,31,1.190695717226662,12802721
YELLOW,28,1.1906215143976286,13161844
YELLOW,39,1.1892707268713403,13681874
YELLOW,38,1.1884814155307588,13353933
YELLOW,29,1.1879148690576098,13307921
YELLOW,41,1.186493634676817,14053263
YELLOW,42,1.1861637134946945,14480316
YELLOW,23,1.1841755751977054,14485295
YELLOW,37,1.1839072320169206,13809362
YELLOW,24,1.1828639983834985,14238393
YELLOW,53,1.1799850361275879,2455701
YELLOW,40,1.1769391730199414,13837068
YELLOW,19,1.1734999141238747,14831486
YELLOW,43,1.1721477058825405,14601896
YELLOW,18,1.1658358084842262,15029883
YELLOW,17,1.1650627694399769,14690772
YELLOW,16,1.164830372715038,14646367
YELLOW,45,1.1605317327622116,14438344
YELLOW,12,1.1600328710370567,14313547
YELLOW,48,1.159743770809778,13398821
YELLOW,49,1.156820710976665,14960595
YELLOW,47,1.1544735828099688,12731038
YELLOW,1,1.1544427742579935,12358011
YELLOW,15,1.1534608247922613,14674788
YELLOW,46,1.1534467045974461,14303430
YELLOW,13,1.1525338473259688,14440282
YELLOW,44,1.1485356023905318,14512872
YELLOW,11,1.1437052344980514,15461927
YELLOW,50,1.1410576883623027,15086130
YELLOW,14,1.1399156385678717,14764570
YELLOW,8,1.1264454853909793,15461798
YELLOW,10,1.1184565550708427,16051691
YELLOW,9,1.1077302484722145,16351124
YELLOW,51,1.1071989056954952,13492091
YELLOW,7,1.0918883774845667,15815989
YELLOW,2,1.08754923839159,15229444
YELLOW,3,1.086955342473801,14787865
YELLOW,4,1.0822519519146754,15205571
YELLOW,6,1.0737385163191397,15785211
YELLOW,5,1.0614581711322826,15168189
GREEN,35,1.1034715892017348,1041611
GREEN,36,1.0925991109271258,1106321
GREEN,34,1.0638114057065948,1073638
GREEN,30,1.0597513053578087,1157154
GREEN,33,1.0567386214724874,1106514
GREEN,20,1.0554892895061472,1350638
GREEN,32,1.0549766454352492,1127574
GREEN,31,1.0531813484072623,1152100
GREEN,29,1.0520245110218758,1155113
GREEN,22,1.0513543454100884,1272308
GREEN,38,1.0513517407299702,1140556
GREEN,27,1.0512677462263222,1103629
GREEN,24,1.050325212216943,1265097
GREEN,21,1.0495229910043296,1267387
GREEN,37,1.0491954860297659,1135342
GREEN,28,1.0460895256791367,1162968
GREEN,23,1.0400151845807106,1292199
GREEN,39,1.0399652423994257,1130242
GREEN,42,1.0371389093197978,1150218
GREEN,26,1.0364854293070571,1203649
GREEN,41,1.0352138304887448,1126757
GREEN,25,1.034994216895043,1250107
GREEN,19,1.034733419868596,1342420
GREEN,43,1.0296601976511048,1165994
GREEN,16,1.0278597126025921,1323394
GREEN,15,1.0237513140138852,1333129
GREEN,52,1.023626163692892,956975
GREEN,40,1.0229597701847972,1151969
GREEN,44,1.022209883699732,1179103
GREEN,53,1.0219212203403463,346936
GREEN,12,1.0181234090254756,1357737
GREEN,45,1.0180540343552666,1130540
GREEN,14,1.017826313618768,1384458
GREEN,18,1.017240837287018,1362233
GREEN,47,1.014826859938831,1068476
GREEN,17,1.0144432141625954,1325577
GREEN,11,1.0130602358563596,1428327
GREEN,13,1.0128610484133438,1376976
GREEN,48,1.01079958402989,1098877
GREEN,51,1.010709708434497,1164884
GREEN,50,1.0067627242482655,1192094
GREEN,46,1.006563001811319,1148340
GREEN,10,1.0014968920862397,1439390
GREEN,49,1.0011679647217127,1176247
GREEN,8,0.999369532642559,1429484
GREEN,7,0.9959581033820586,1471145
GREEN,1,0.9923066422278128,1147898
GREEN,4,0.9887179095043025,1373148
GREEN,9,0.9873527711804846,1496402
GREEN,6,0.9827822733470662,1441135
GREEN,3,0.9814326594208839,1286171
GREEN,2,0.9807926656663415,1374208
GREEN,5,0.9785426413084028,1392734
