taxi_type,year,total_co2_kg
YELLOW,2015,164890638.83809027
YELLOW,2016,148331682.28622764
YELLOW,2017,126107446.98040207
YELLOW,2018,113576736.28928334
YELLOW,2019,93764982.78576969
YELLOW,2020,24231332.51749006
YELLOW,2021,33355410.422880575
YELLOW,2022,49614037.94484415
YELLOW,2023,47930899.17965955
YELLOW,2024,47347171.523869224
GREEN,2015,19372286.674999196
GREEN,2016,16065159.155501723
GREEN,2017,11024287.99500051
GREEN,2018,9790444.14600037
GREEN,2019,5983739.100499794
GREEN,2020,1188307.5645000043
GREEN,2021,802731.2509999985
GREEN,2022,749277.2804999949
GREEN,2023,699179.7085000029
GREEN,2024,599906.0900000014
